dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
mimic3_mort_hosp,CF-Iso,0,0.8415591705553623,0.07032330016854477,0.20138428649155027,0.007078955858299429,0.2213879074343148,0.00028269155975099334,2.7639488038108354e-05
mimic3_mort_hosp,CF-Logit,0,0.8423351493415348,0.07181444731605281,0.18445030386702754,0.0,3.5741617016370945e-06,0.001441655286004548,0.000171404318998345
mimic3_mort_hosp,RC-Iso,0,0.8354731336186401,0.07210708801814383,0.18112697486309992,7.582823258189819e-14,2.412000187582858e-07,0.0010066773907207245,0.00011540514992362768
mimic3_mort_hosp,RC-Logit,0,0.8378117420234157,0.07153306800335338,0.18764574463899653,0.0,0.0008042203545709957,0.0011625613074173007,0.00011486644216495184
mimic3_mort_hosp,RF-NoCal,0,0.8418836227658291,0.07223467778923659,0.17967802130384702,0.0,0.023517801239590228,0.001833108966262123,8.597046364418827e-06
mimic3_mort_hosp,CF-Iso,1,0.8372547052171785,0.0707299813116535,0.19676587480586694,0.01936038774914428,0.1671763831292501,0.00021930693334489167,2.376916638838235e-05
mimic3_mort_hosp,CF-Logit,1,0.8397804595053054,0.07212136288702896,0.18096486451599436,0.0,7.11682538206113e-05,0.0014070276464706044,0.00012960626247228346
mimic3_mort_hosp,RC-Iso,1,0.8352365882634336,0.07130374869311028,0.1902499740214647,8.464842204958245e-08,0.03354110534887473,0.00033155378008179696,5.870658286605476e-05
mimic3_mort_hosp,RC-Logit,1,0.8406978153991247,0.07165464157431865,0.18626511312870753,0.0,0.00397902175677884,0.0011596319512736197,7.025958203228667e-05
mimic3_mort_hosp,RF-NoCal,1,0.8417885645393648,0.07210692916079035,0.18112877890213663,0.0,0.01057315132319216,0.001960009494497295,4.413361542871469e-06
mimic3_mort_hosp,CF-Iso,2,0.838240714274555,0.0706995874552926,0.19711103794846352,0.048855750994074354,0.08996061932226661,0.00024698288504994097,4.089092525133153e-05
mimic3_mort_hosp,CF-Logit,2,0.8408753894471727,0.07174421906172149,0.18524784020714302,0.0,0.0007934112847810259,0.0012336952175147485,0.00010869502494109033
mimic3_mort_hosp,RC-Iso,2,0.833325301793366,0.07154565679404135,0.18750278197891956,0.002261281112932778,0.06746392457739656,0.00027759595359869995,2.6120599223859074e-05
mimic3_mort_hosp,RC-Logit,2,0.8412523217201666,0.0719770622823288,0.18260359208006094,0.0,9.324790792727348e-05,0.000961761154159675,7.318729354665643e-05
mimic3_mort_hosp,RF-NoCal,2,0.8398451519094271,0.07228040410039317,0.1791587375028465,0.0,0.024328377439137416,0.0018022526778252554,8.084343123093802e-06
mimic3_mort_hosp,CF-Iso,3,0.8417708511429982,0.07046315106546898,0.19979609134763288,0.0018844284739540917,0.17974997577854257,0.00032818827378071466,3.1838970333810456e-05
mimic3_mort_hosp,CF-Logit,3,0.8416270535712519,0.07179700733681835,0.18464835830171034,0.0,0.0002068813225917245,0.001266765871394892,0.00013030550397341784
mimic3_mort_hosp,RC-Iso,3,0.8390263749171267,0.07103106147571087,0.19334670435360402,0.002075528721071307,0.6992558655447874,0.00022628822419032968,1.059835518557154e-06
mimic3_mort_hosp,RC-Logit,3,0.8365636627166894,0.07204777623315517,0.1818005400026007,0.0,0.008701267659179498,0.0013906236816394256,9.837810769175413e-05
mimic3_mort_hosp,RF-NoCal,3,0.841614731208562,0.07219135805637654,0.1801699751695517,0.0,0.014314262142031745,0.0018857277835670472,6.208321669799801e-06
mimic3_mort_hosp,CF-Iso,4,0.8368048289579043,0.0707613358127179,0.19640980224984028,0.009315737632840992,0.07455950589117645,0.0002455769668996365,3.67736201044936e-05
mimic3_mort_hosp,CF-Logit,4,0.8387933502369744,0.07219638328549202,0.18011290693006377,0.0,9.249042082336277e-05,0.0011948936794341065,0.00011518224106219589
mimic3_mort_hosp,RC-Iso,4,0.839702894633017,0.07058535154511536,0.19840834044558509,0.001673866766938814,0.04128086098480491,0.00039736202326374136,3.2802015179570954e-05
mimic3_mort_hosp,RC-Logit,4,0.840399658230469,0.07210106173589075,0.18119541140816842,0.0,0.0003103453532582081,0.0013655287102316937,0.00011168853452314893
mimic3_mort_hosp,RF-NoCal,4,0.8400715753238526,0.0722965640399135,0.1789752196417771,0.0,0.022632218360682778,0.0020095232054486824,8.461247424025691e-06
mimic3_mort_hosp,CF-Iso,5,0.8410576944023247,0.07037286346181384,0.20082142859490648,0.025160688061168446,0.28664727896100517,0.000237635202001636,1.9363064771082602e-05
mimic3_mort_hosp,CF-Logit,5,0.8414133926038979,0.07203188229925235,0.18198103701189683,0.0,0.00038554853759378827,0.0012860797106757052,0.00010754395990088848
mimic3_mort_hosp,RC-Iso,5,0.8361649462667972,0.07158539505884427,0.1870515005028922,0.00014806393788224792,0.0004365102087244362,0.0005879660163908339,0.00013316187414154056
mimic3_mort_hosp,RC-Logit,5,0.8409035548476064,0.0720648457517002,0.1816066926476072,0.0,9.587073512113317e-06,0.0015835335420810014,0.00018024637501714007
mimic3_mort_hosp,RF-NoCal,5,0.8399025829212493,0.07225448288249779,0.17945310781645396,0.0,0.018592724928773115,0.002018982828385354,6.573013802681746e-06
mimic3_mort_hosp,CF-Iso,6,0.8402435382960329,0.07066522155044618,0.19750130904713947,0.007357167877014792,0.12578544610849693,0.0002668573076672718,2.935116195049181e-05
mimic3_mort_hosp,CF-Logit,6,0.8402139426213582,0.0721109380169622,0.18108325294524397,0.0,0.00010989652636648625,0.0011435278362504325,0.00010840145568679409
mimic3_mort_hosp,RC-Iso,6,0.8376815870675042,0.0711402181164847,0.19210708379616637,0.00010072967538576894,0.21783536717562124,0.0003379105546336839,1.1860715212780205e-05
mimic3_mort_hosp,RC-Logit,6,0.8427178027114919,0.0716856737573924,0.18591270092723555,0.0,0.002189412354648495,0.0015720027474472827,0.00013723029598980725
mimic3_mort_hosp,RF-NoCal,6,0.8413480400732036,0.07207142799835072,0.18153194237859693,0.0,0.008746517092533813,0.0019820947355671274,3.4744778696474813e-06
mimic3_mort_hosp,CF-Iso,7,0.8399605640385486,0.07044755342059765,0.19997322359623482,0.002871053703563442,0.1519328916874346,0.0003092417384500994,3.997659969039641e-05
mimic3_mort_hosp,CF-Logit,7,0.8402553105532455,0.07183941700744216,0.18416673941744688,0.0,7.671605373023755e-05,0.0012652481354589803,0.000127971347344486
mimic3_mort_hosp,RC-Iso,7,0.8353526605191279,0.07130325722137909,0.19025555534438798,9.633153500321345e-05,0.0012605689018826895,0.00039796960897231227,7.420446008606678e-05
mimic3_mort_hosp,RC-Logit,7,0.8371065068016141,0.07234749764189795,0.17839680004552827,0.0,0.010069302352935062,0.0011175292452806121,4.857969861788845e-05
mimic3_mort_hosp,RF-NoCal,7,0.8401004008508591,0.07228977095286214,0.17905236428728488,0.0,0.014277232858516512,0.0019429604590534735,5.897827489136052e-06
mimic3_mort_hosp,CF-Iso,8,0.8395405034961403,0.07061759297073171,0.19804219566766057,0.026798881236430483,0.18864301816033358,0.00021637515527504758,2.931312399284633e-05
mimic3_mort_hosp,CF-Logit,8,0.8410140160274331,0.07228840356950252,0.17906789276553847,0.0,4.784286245952656e-05,0.001230044852757432,0.00011912422867085807
mimic3_mort_hosp,RC-Iso,8,0.8409087258390925,0.0704229551090863,0.200252570527503,2.334878956844477e-10,0.14378647265399136,0.00013934606039596556,1.6563525329263394e-05
mimic3_mort_hosp,RC-Logit,8,0.8374977418170159,0.07227548286661103,0.17921462473536898,0.0,4.6351609359694665e-05,0.0014182556822193014,0.00014308444160673385
mimic3_mort_hosp,RF-NoCal,8,0.8403490485265644,0.0720382886919335,0.18190828380137047,0.0,0.016833398378658684,0.002016056584628572,6.685863243884036e-06
mimic3_mort_hosp,CF-Iso,9,0.839700694211108,0.07051614370374802,0.1991942886232373,0.010993499529927231,0.1471659810282626,0.0002462169746755568,2.571345575400764e-05
