dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
mimic3_mort_icu,CF-Iso,0,0.8549609688681279,0.05077110256702163,0.1981115186075071,1.0413891970983968e-13,3.502245126101013e-05,0.000424237797400869,0.00011145930402596126
mimic3_mort_icu,CF-Logit,0,0.8572560447147307,0.05216323143872052,0.17612396958086085,0.0,1.3977263024207082e-10,0.00144565435501751,0.00022003944627850674
mimic3_mort_icu,RC-Iso,0,0.8523511406369353,0.05130491998387219,0.1896803044700145,0.0,2.909987781261894e-08,0.0003584624037543525,0.00013117486389875493
mimic3_mort_icu,RC-Logit,0,0.8566242447166892,0.051689006956151216,0.18361396154360488,0.0,2.9727414032882777e-07,0.0008952633898099101,0.00010845965897451914
mimic3_mort_icu,RF-NoCal,0,0.8599696172904793,0.051943341794736864,0.17959694857428,8.326672684688674e-15,0.4721512641711576,0.001276686997654645,6.812999642890092e-05
mimic3_mort_icu,CF-Iso,1,0.8550869004250151,0.05081321933016209,0.1974463184143206,4.437850662730725e-06,5.927157584648349e-05,0.0004002908535333942,0.00010247468597988544
mimic3_mort_icu,CF-Logit,1,0.85890860949527,0.05212092049799622,0.17679223665185684,0.0,4.050218077328219e-10,0.00162960109633649,0.00022784711352313552
mimic3_mort_icu,RC-Iso,1,0.8521649210686097,0.05126148442773151,0.1903663339314804,1.6243910261337646e-07,1.7503839621718015e-08,0.00041911242121420487,0.00016123867978047455
mimic3_mort_icu,RC-Logit,1,0.8511039132734003,0.05197348553236215,0.17912085263060962,0.0,1.5104557672065633e-07,0.0011357376211270803,0.00015609558801222734
mimic3_mort_icu,RF-NoCal,1,0.8588379164463247,0.05173378899877077,0.18290666541777334,2.4646951146678475e-14,0.5849771019594527,0.0013520542995148013,6.568524561676306e-05
mimic3_mort_icu,CF-Iso,2,0.8585803917680241,0.05057398408938798,0.20122484545471087,1.7096960047702225e-06,3.277985975123836e-05,0.0004608201098563193,0.000121986020279398
mimic3_mort_icu,CF-Logit,2,0.8552897986564036,0.05176374953518454,0.18243346298899354,0.0,1.4534765475020856e-10,0.001306182700515236,0.00022323001632905162
mimic3_mort_icu,RC-Iso,2,0.8529361179661947,0.0516757420729529,0.18382346963986307,6.106226635438361e-15,7.977725861162325e-11,0.0005768255709794867,0.00017549584473776662
mimic3_mort_icu,RC-Logit,2,0.8561622916544254,0.051844649719011496,0.18115571004936148,0.0,2.382422189781283e-07,0.0008083105017574557,5.782789569886078e-05
mimic3_mort_icu,RF-NoCal,2,0.858650319740682,0.051842485987942215,0.18118988443072337,6.661338147750939e-16,0.5364623314575482,0.0014257901293436937,6.519172725663892e-05
mimic3_mort_icu,CF-Iso,3,0.8596057470082458,0.05075905394466276,0.19830181684799664,4.2107818343239956e-08,0.00012218313288457728,0.0004044298345151615,9.127282561347192e-05
mimic3_mort_icu,CF-Logit,3,0.8603647026852342,0.051952974736373315,0.17944480405604735,0.0,5.5394752999920145e-08,0.0013568539132083196,0.00016955929346065436
mimic3_mort_icu,RC-Iso,3,0.8535111493037194,0.0510499309180214,0.1937076504295957,1.3501008899741151e-07,0.006138069034641118,0.0003804017405849967,6.155442742771428e-05
